,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
0,1,Skyrim,Console (PS  Xbox  ...),15.0,I play for fun,having fun,Male,25,Unemployed / between jobs,Bachelor or equivalent,USA,Singleplayer,1,23,5.0
1,2,Other,PC,8.0,I play for fun,having fun,Male,41,Unemployed / between jobs,Bachelor or equivalent,USA,Multiplayer - online - with strangers,8,16,33.0
2,3,Other,PC,0.0,I play for fun,having fun,Female,32,Employed,Bachelor or equivalent,Germany,Singleplayer,8,17,31.0
3,4,Other,PC,20.0,I play for fun,improving,Male,28,Employed,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,0,17,11.0
4,5,Other,Console (PS  Xbox  ...),20.0,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),South Korea,Multiplayer - online - with strangers,14,14,13.0
5,6,Other,Console (PS  Xbox  ...),4.0,I play for fun,relaxing,Male,24,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,1,17,13.0
6,7,Other,PC,30.0,I play for fun,relaxing,Male,29,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,0,16,26.0
7,8,Other,Console (PS  Xbox  ...),25.0,I play for fun,having fun,Female,23,Employed,Bachelor or equivalent,Japan,Singleplayer,0,23,
8,9,Other,Console (PS  Xbox  ...),2.0,I play for fun,winning,Female,23,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,12,12,55.0
9,10,World of Warcraft,PC,25.0,I play for fun,improving,Female,27,Employed,High school diploma (or equivalent),Finland,Multiplayer - online - with online acquaintances or teammates,10,13,26.0
10,11,Other,PC,14.0,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,19,27,6.0
11,12,League of Legends,PC,25.0,I play for fun,having fun,Male,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,0,33,3.0
12,13,Other,PC,10.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,31,23.0
13,14,Other,Console (PS  Xbox  ...),25.0,I play for fun,relaxing,Male,19,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,26,29.0
14,15,Other,PC,30.0,I play for fun,having fun,Male,35,Employed,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,2,13,33.0
15,16,Other,PC,14.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Australia,Singleplayer,8,28,30.0
16,17,Other,Console (PS  Xbox  ...),4.0,I play for fun,having fun,Female,24,Unemployed / between jobs,Bachelor or equivalent,UK,Multiplayer - offline (people in the same room),4,15,36.0
17,18,Other,PC,20.0,I play for fun,improving  having fun,Male,30,Employed,Bachelor or equivalent,Bosnia and Herzegovina,all of the above,1,19,8.0
18,19,Skyrim,PC,10.0,I play for fun,relaxing,Male,29,Unemployed / between jobs,High school diploma (or equivalent),USA,Singleplayer,8,6,36.0
19,20,Other,Console (PS  Xbox  ...),6.0,I play for fun,relaxing,Male,22,Employed,Bachelor or equivalent,Ireland,Multiplayer - online - with strangers,0,31,11.0
20,21,Other,Console (PS  Xbox  ...),7.0,I play for fun,having fun,Female,20,Employed,High school diploma (or equivalent),Finland,Singleplayer,2,16,26.0
21,22,Starcraft 2,PC,60.0,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,15,9,37.0
22,23,Other,PC,10.0,I play for fun,having fun,Male,33,Employed,Ph.D.  Psy. D.  MD (or equivalent),Canada,Singleplayer,3,31,5.0
23,24,World of Warcraft,PC,21.0,I play for fun,having fun,Male,41,Employed,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,0,35,0.0
24,25,Other,PC,20.0,I play for fun,having fun,Female,25,Unemployed / between jobs,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,10,8,47.0
25,26,Other,PC,21.0,I play for fun,having fun,Male,26,Unemployed / between jobs,Master or equivalent,Malaysia,Singleplayer,4,7,20.0
26,27,Skyrim,PC,20.0,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),UK,Singleplayer,0,16,39.0
27,28,League of Legends,PC,5.0,I play for fun,having fun,Male,36,Employed,Bachelor or equivalent,Romania,Multiplayer - online - with strangers,5,26,31.0
28,29,Other,Console (PS  Xbox  ...),40.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,24,15.0
